"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"2412500";"      São Miguel";"3010";"3010";"-";"2230";"2230";"-";"2300";"2300";"-";"2500";"2500";"-";"2270";"2270";"-";"2270";"2270";"-";"1800";"1800";"-";"2700";"2700";"-";"2100";"2100";"-";"2000";"2000";"-";"1950";"1950";"-";"800";"800";"-";"800";"800";"-";"800";"800";"-";"1200";"1200";"-";"1850";"1850";"-";"1400";"1400";"-";"1450";"1450";"-"
"2414753";"      Venha-Ver";"380";"380";"-";"810";"810";"-";"450";"450";"-";"450";"450";"-";"470";"470";"-";"600";"600";"-";"600";"600";"-";"120";"120";"-";"240";"240";"-";"420";"420";"-";"370";"370";"-";"600";"600";"-";"622";"622";"-";"350";"350";"-";"450";"450";"-";"450";"450";"-";"500";"500";"-";"470";"470";"-"
"24006";"    Pau dos Ferros";"10540";"10540";"-";"10548";"10548";"-";"7965";"7965";"-";"9044";"9044";"-";"8000";"8000";"-";"10195";"10195";"-";"9210";"9210";"-";"3027";"3027";"-";"5535";"5535";"-";"3964";"3964";"-";"4884";"4884";"-";"6220";"6220";"-";"2780";"2780";"-";"3465";"3465";"-";"3754";"3754";"-";"4457";"4457";"-";"4926";"4926";"-";"5055";"5055";"-"
"2400505";"      Alexandria";"930";"930";"-";"800";"800";"-";"320";"320";"-";"1000";"1000";"-";"410";"410";"-";"1000";"1000";"-";"800";"800";"-";"212";"212";"-";"300";"300";"-";"300";"300";"-";"295";"295";"-";"700";"700";"-";"300";"300";"-";"200";"200";"-";"50";"50";"-";"200";"200";"-";"300";"300";"-";"320";"320";"-"
"2403905";"      Francisco Dantas";"350";"350";"-";"340";"340";"-";"280";"280";"-";"315";"315";"-";"380";"380";"-";"450";"450";"-";"320";"320";"-";"80";"80";"-";"280";"280";"-";"250";"250";"-";"275";"275";"-";"300";"300";"-";"150";"150";"-";"120";"120";"-";"150";"150";"-";"110";"110";"-";"270";"270";"-";"250";"250";"-"
"2404903";"      Itaú";"1425";"1425";"-";"1490";"1490";"-";"1355";"1355";"-";"1251";"1251";"-";"1100";"1100";"-";"900";"900";"-";"1000";"1000";"-";"...";"...";"...";"350";"350";"-";"50";"50";"-";"300";"300";"-";"400";"400";"-";"-";"-";"-";"300";"300";"-";"300";"300";"-";"340";"340";"-";"340";"340";"-";"360";"360";"-"
"2406007";"      José da Penha";"430";"430";"-";"930";"930";"-";"790";"790";"-";"750";"750";"-";"810";"810";"-";"900";"900";"-";"800";"800";"-";"320";"320";"-";"620";"620";"-";"410";"410";"-";"558";"558";"-";"600";"600";"-";"400";"400";"-";"400";"400";"-";"100";"100";"-";"800";"800";"-";"760";"760";"-";"750";"750";"-"
"2407302";"      Marcelino Vieira";"700";"700";"-";"900";"900";"-";"700";"700";"-";"945";"945";"-";"600";"600";"-";"600";"600";"-";"600";"600";"-";"600";"600";"-";"620";"620";"-";"470";"470";"-";"485";"485";"-";"550";"550";"-";"450";"450";"-";"220";"220";"-";"480";"480";"-";"450";"450";"-";"500";"500";"-";"480";"480";"-"
"2408607";"      Paraná";"340";"340";"-";"490";"490";"-";"395";"395";"-";"439";"439";"-";"410";"410";"-";"550";"550";"-";"330";"330";"-";"224";"224";"-";"350";"350";"-";"250";"250";"-";"275";"275";"-";"380";"380";"-";"135";"135";"-";"60";"60";"-";"300";"300";"-";"300";"300";"-";"310";"310";"-";"330";"330";"-"
"2409407";"      Pau dos Ferros";"650";"650";"-";"660";"660";"-";"510";"510";"-";"495";"495";"-";"600";"600";"-";"800";"800";"-";"600";"600";"-";"141";"141";"-";"180";"180";"-";"130";"130";"-";"115";"115";"-";"460";"460";"-";"200";"200";"-";"600";"600";"-";"450";"450";"-";"312";"312";"-";"560";"560";"-";"620";"620";"-"
"2410009";"      Pilões";"710";"710";"-";"948";"948";"-";"480";"480";"-";"670";"670";"-";"510";"510";"-";"1000";"1000";"-";"1240";"1240";"-";"320";"320";"-";"160";"160";"-";"160";"160";"-";"156";"156";"-";"250";"250";"-";"40";"40";"-";"200";"200";"-";"394";"394";"-";"400";"400";"-";"250";"250";"-";"260";"260";"-"
"2410207";"      Portalegre";"750";"750";"-";"700";"700";"-";"520";"520";"-";"353";"353";"-";"550";"550";"-";"750";"750";"-";"600";"600";"-";"230";"230";"-";"360";"360";"-";"360";"360";"-";"285";"285";"-";"420";"420";"-";"200";"200";"-";"200";"200";"-";"250";"250";"-";"250";"250";"-";"300";"300";"-";"320";"320";"-"
